review,sentiment
"I would reccomend this film to everyone. Not only to the fans of the rocker Luciano Ligabue, but to all film-buffs. Because it's sincere, moving, funny and true. Because Ligabue is a born storyteller and a film lover, and every frame of his film is made with love and care. Because his characters are loved and ask to be loved. Because most of the Italian debut films are lousy and this one, done by an outsider, is a real joy to watch and to listen at. Because Stefano Accorsi is gorgeous and reminds me of Andrea Pazienza, who was, like Freccia, beautiful and talented and good and lost his life because of the heroin, that Ligabue shows as it is, unglamorous and ugly, without indulging in easy moralisms. Because it's a film that speaks to our heart, our ears, our souls. And because I lived the experience of the FM radios and it was exactly like that. Thanks, Luciano!",1
"It's a shame this movie is rated PG 13--it is really quite suitable for anyone--though young kids might not follow it too well.<br /><br />It belongs to that wonderful genre of serio-comic ghost/angel stories that would have to include everything from Capra's ""It's A Wonderful Life"" to Wenders's ""Wings of Desire."" <br /><br />The photography is stunning, the acting first rate, and--wonder of wonders--the tone is uplifting.<br /><br />My only criticism is that there is not much ambiguity in the film. The two interwoven stories seem intriguingly mysterious at first; but they resolve themselves a little too nicely for my taste. As the director points out in his commentary on the DVD, all the ingredients of Irwin's story are on his bedside table. The symbolism is just a trifle too pat for me.<br /><br />But what a lark! My favorite scene has to be when the relocation team tries to get breakfast at a diner. This is practically theatrical in its magic--a tour de force of witty acting--subtle, playful, and positively rhythmic--coupled with striking cinematography and an acute eye for the grotesque.<br /><br />""Northfork"" is funny, touching, gorgeous to look at, magical (with the above reservations) and has not one single car-chase.<br /><br />An easy nine stars.",1
"........and an extremely bad one at that!!! How long did this train-wreck last?? 14 episodes or something?? I can see why now.<br /><br />I bought the ""Serenity"" episode from Amazon Unboxed. It was my first purchase, so was free. That is the ONLY good thing about the experience (incident??)<br /><br />I won't comment really on the acting, since these were, I guess, fairly new people who hadn't really gotten the job down just right yet. At least I've never seen them before in any type of major show, theater or TV. If I did, then I have easily forgotten them.<br /><br />But the special effects were absolutely horrendous. True, this isn't exactly a multi-million $$ project, but the original Star Trek did better than this & that was THIRTY-FIVE YEARS ago. I especially got a laugh out of the bad guys (reapers or something like that) ship as it chased the hilarious looking Firefly, with smoke coming out of the engines looking something like a gigantic model rocket. I fully expected to eventually see the Wiley Coyote riding on top, while chasing after the Roadrunner. MODERN jet/rocket engines don't even do it that bad.<br /><br />And that wasn't even the worst of it. The wild-west type shoot-outs had me wondering if I was actually watching a sci-fi film or a Gene Autry one.<br /><br />Regardless of the hype, don't waste your time...I did...all 80-something minutes of the disaster called ""Firefly"".",0
"I really don't understand who this movie is aimed at. From just the absurdity of it, not to mention the ridiculously bad acting, cheesy dialogue, and the fact that the villain is a child, I'd assume this was meant to be a children's movie... but I think there may be more swear words than Pulp Fiction, not to mention constant references to drugs and general mayhem and killing-so which demographic is it trying to please? This movie is too schizophrenic, like trying to combine Country music with Heavy metal, in the end no one is going to like it because it's a bloody paradox. I would recommend this movie because it's so funny (in a bad way) except the actors are so patently unbearable that I wouldn't want to suggest otherwise.<br /><br />I'm completely serious when I say that I could not watch more than 15 minutes of this. Terrrrrrrrrrrrrrrriiiiiiiiiiiible",0
"What a mess--and I'm not referring to the ""destruction"" in the title. I could go on about the hackneyed plot, the lousy effects, the (actually notable) cast grimacing as they deliver the worst lines of their careers, etc. I'll just say there weren't any palm trees in Chicago the last time I checked, and leave it at that.<br /><br />Hmmm...need ten lines to get this posted on IMDb.. OK, well, I think a DVD release with outtakes could be interesting. Maybe Dennehy will reveal what favor got called in for him to appear in this thing. Maybe Dianne Weist will show us the bag of money it must have taken to get her involved. Maybe CBS execs will apologize...",0
"In this forgettable trifle, the 40-ish Norma Shearer plays a fluttery, girlish socialite in Monte Carlo, caught in a tussle between George Sanders and Robert Taylor. It would be tempting to blame this movie's failure on the dull, talky script, or director George Cukor, who never seems interested in livening up the film's generally comatose state. Mostly, though, it's the fault of Shearer herself, who desperately wanted to keep playing ""young"" parts as long as she could get away with it. Inadvertently, this makes ""Her Cardboard Lover"" a bizarre monument to an aging woman's vanity.",0
"I'm not one of those folks who bemoans everytime a film based on an old TV show comes out. Rather, I usually run out and see it (If I had watched the show) and try to get nostalgic. But if anyone feels like running down films based on old shows, this is exhibit A (So you can actually say something more than just ""McHale's Navy""). ""Mod Squad"" is dreary, tiring, and lethargic. At least the original series was angst riddled long before anyone knew teens could be so glum, making it groundbreaking. This is just tedious. Claire Danes is nice to look at, but does nothing else but mood swing and sneak around spying on the baddies. Giovanni Ribisi's acting extent in this flick is that Droopy the Dog look for an hour and forty five minutes. And Omar Epps looks like he wants to flee the set, but the script's chlostraphobia has trapped him. Sure, the production is nice, with the now seemingly obligitory ""rave"" nightclub opening action sequence and shootouts galore. Oh, and the kids yell and get mad at each other and their superiors a lot too. It's kind of like deciding to use the Scooby Doo Mystery Machine to go on a family vacation to Hollywood with your teenage kids who you and your spouse know need heavy therapy and prescription drugs. I really wanted to like this movie, and there were promising moments, but the next scene would suck the life out of it. You can knock another Spelling remake, ""Charlie's Angels"", all you want, but at least that film knew it wanted to have fun with itself. ""The Mod Squad"" makes you wonder where the inspiration from the original series went.",0
"This typical Mamet film delivers a quiet, evenly paced insight into what makes a confidence man (Joe Mantegna) good. Explored as a psychological study by a noted psychologist (Lindsay Crouse), it slowly pulls her into his world with the usual nasty consequences. The cast includes a number of the players found is several of Mamet's films (Steven Goldstein, Jack Wallace, Ricky Jay, Andy Potok, Allen Soule, William H. Macy), and they do their usual good job. I loved Lindsay Crouse in this film, and have often wondered why she didn't become a more noted player than she has become. Perhaps I'm not looking in the right places!<br /><br />The movie proceeds at a slow pace, with flat dialog, yet it maintains a level of tension throughout which logically leads to the bang-up ending. You'd expect a real let down at the ending, but I found it uplifting and satisfying. I love this movie!",1
"A cheesy ""B"" crime thriller of the early '50, the story is droll, the characters wooden, Allison Hayes and Abbe Lane are the only two sexpots that make it an eye-catcher, but one short shot, only a few frames long, shows an ""el"" train crossing the river on the State Street bridge, of the 6000 series Pullman-built cars painted in their original 1950 paint scheme, as they were delivered when new in 1950. For traction fans like me, that one short take makes the picture worthwhile. I think films like this one, Ulmer's DETOUR, D.O.A. with Edmund O'Brien,THE FUGITIVE with Harrison Ford, and others of the film noir genre, (big city crime dramas) make it interesting if for nothing other than the fact that I know Chicago and San Francisco intimately and recognize most of the street locations. Other wise it's a really droll boring film!",0
"I saw this back in '94 when it was finally released. Apparently because Orion pictures was in bankruptcy, I think, the movie had not been released a couple of years earlier.<br /><br />I have problem remembering details partly because I haven't seen it in a long time, but I do remember it as a very dull movie. I kept debating whether to walk out of it. The store was not at all interesting or engaging. Was a 3rd rate America Graffiti imitation. <br /><br />None of the performances make it worth watching either. One of the biggest disappointments since a local newspaper reviewer gave it a high rating.",0
